name;address;$rel_CategoryAgency_label_category;$rel_Department_code_department;latitude;longitude
Aéroport AGEN-LA-GARENNE;LE PASSAGE 47520;Airport;47;44.175;0.591
Aéroport AJACCIO-NAPOLEON-BONAPARTE;AJACCIO 20090;Airport;2A;41.924;8.803
Aéroport ALBI-LE-SEQUESTRE;ALBI 81000;Airport;81;43.914;2.113
Aéroport ANGOULEME-BRIE-CHAMPNIERS;CHAMPNIERS 16430;Airport;16;45.729;0.221
Aéroport ANNECY-MEYTHET;METZ T ESSY 74370;Airport;74;45.929;6.099
Aéroport AURILLAC;AURILLAC 15000;Airport;15;44.891;2.422
Aéroport AUXERRE-BRANCHES;AUXERRE 89380;Airport;89;47.85;3.497
Aéroport AVIGNON-CAUMONT;RN7MONT FAVET 84140;Airport;84;43.907;4.902
Aéroport BASTIA-PORETTA;CCI de BastiaBORGO 20290;Airport;2B;42.554;9.483
Aéroport BEAUVAIS-TILLE;TILLE 60000;Airport;60;49.454;2.113
Aéroport BERGERAC-ROUMANIERE;Route d'Agen BERGERAC 24100;Airport;24;44.825;0.519
Aéroport BEZIERS-VIAS;VIAS 34450;Airport;34;43.324;3.356
Aéroport BIARRITZ-BAYONNE-ANGLET;7, esplanade de l'Europe ANGLET 64600  CEDEX;Airport;64;43.468;-1.523
Aéroport BORDEAUX-MERIGNAC;BORDEAUX 33700;Airport;33;44.828;-0.716
Aéroport BOURGES;Route d'Issoudun BOURGES 18000;Airport;18;47.058;2.37
Aéroport BREST-BRETAGNE;GUIPAVAS 29490;Airport;29;48.448;-4.418
Aéroport BRIVE-VALLEE-DE-DORDOGNE;NESPOUL 19600;Airport;19;45.151;1.469
Aéroport CAEN-CARPIQUET;CARPIQUET 14650;Airport;14;49.173;-0.45
Aéroport CALAIS-DUNKERQUE;MARCK 62730;Airport;62;50.962;1.955
Aéroport CALVI-ST-CATHERINE;CALVI 20260;Airport;2B;42.531;8.793
Aéroport CARCASSONNE-SALVAZA;Route de Montréal CARCASSONNE 11000;Airport;11;43.216;2.306
Aéroport CASTRES-MAZAMET;LABRUGUIERE 81290;Airport;81;43.556;2.289
Aéroport CHAMBERY-AIX-LES-BAINS;VIVIERS DU LAC 73420;Airport;73;45.638;5.88
Aéroport CHATEAUROUX-DEOLS;RN 20 DEOLS 36130;Airport;36;46.862;1.731
Aéroport CHERBOURG-MAUPERTUS;7, rue Jean Mermoz GONNEVILLE 50330;Airport;50;49.65;-1.47
Aéroport CHOLET-LE-PONTREAU;Le Pontreau CHOLET 49300;Airport;49;47.082;-0.877
Aéroport CLERMONT-FERRAND/AUVERGNE;AULNAT63510;Airport;63;45.786;3.169
Aéroport COLMAR-HOUSSEN;43, rue de Strasbourg COLMAR 68000;Airport;68;48.11;7.359
Aéroport DEAUVILLE-ST-GATIEN;SAINT GATIEN DES BOIS 14130;Airport;14;49.365;0.154
Aéroport DIJON-LONGVIC;B.P. 25 LONGVIC21601 CEDEX;Airport;21;47.269;5.09
Aéroport DINARD-PLEURTUIT-ST-MALO;PLEURTUIT 35730;Airport;35;48.588;-2.08
Aéroport DOLE-TAVAUX;B.P. 26TAVAUX39502;Airport;39;47.039;5.427
Aéroport EPINAL-MIRECOURT;Vosges Aéroport JUVAINCOURT 88500;Airport;88;48.325;6.07
Aéroport FIGARI-SUD-CORSE;FIGARI 20114;Airport;2A;41.501;9.098
Aéroport GRENOBLE-ISERE;SAINT ETIENNE DE SAINT GEOIRS 38590;Airport;38;45.363;5.329
Aéroport LA-ROCHELLE-ILE-DE-RE;Route du Jura LA ROCHELLE 17000;Airport;17;43.449;1.263
Aéroport LANNION;Avenue Pierre Marzin LANNION 22300;Airport;22;48.754;-3.471
Aéroport LAVAL-ENTRAMMES;ENTRAMMES 53260;Airport;53;48.031;-0.743
Aéroport LE-HAVRE-OCTEVILLE-SUR-MER;Rue Louis Blériot LE HAVRE 76620;Airport;76;49.534;0.088
Aéroport LE-MANS-ARNAGE;CCI du Mans -B.P. 22385 LE MANS CEDEX 172002;Airport;72;47.949;0.202
Aéroport LE-PUY-LOUDES;LOUDES 43320;Airport;43;45.079;3.765
Aéroport LE-TOUQUET-PARIS-PLAGE;LE TOUQUET PARIS PLAGE 62520;Airport;62;50.515;1.627
Aéroport LILLE-LESQUIN;B.P. 227LESQUIN CEDEX 59812;Airport;59;50.562;3.089
Aéroport LIMOGES-BELLEGARDE;LIMOGES 87100;Airport;87;45.863;1.179
Aéroport LORIENT-LANN-BIHOUE;PLOEMEUR 56270;Airport;56;47.761;-3.44
Aéroport LYON-BRON-BRON;BRON 69500;Airport;69;45.728;4.945
Aéroport LYON-SAINT-EXUPERY;B.P. 113LYON SAINT EXUPERY AEROPORT 69125;Airport;69;45.726;5.091
Aéroport MARSEILLE-PROVENCE;B.P. 7 - Aéroport MARIGNANE CEDEX 13727;Airport;13;43.436;5.214
Aéroport METZ-NANCY-LORRAINE;B.P. 21 - Route de Vigny GOIN 57420;Airport;57;48.982;6.254
Aéroport MONTLUCON-GUERET;LEPAUD 23170;Airport;3;46.224;2.363
Aéroport MONTLUCON-GUERET;LEPAUD 23170;Airport;3;46.352;2.57
Aéroport MONTPELLIER-MEDITERRANEE;CS 10001 MAUGUIO CEDEX3 4137;Airport;34;43.576;3.963
Aéroport MORLAIX-PLOUJEAN;CCI de Morlaix - B.P. 6 MORLAIX 29201;Airport;29;48.603;-3.816
Aéroport BALE-MULHOUSE;B.P. 120SAINT LOUIS CEDEX 68304;Airport;68;47.589;7.53
Aéroport NANTES-ATLANTIQUE;CCI NANTES BOUGUENAIS4 4340;Airport;44;47.153;-1.611
Aéroport NICE-COTE-D'AZUR;CCI NCA - B.P. 3331 NICE CEDEX 36206;Airport;6;43.661;7.218
Aéroport NIMES-GARONS-;SAINT GILLES 30800;Airport;30;43.757;4.416
Aéroport NIORT-SOUCHE;Avenue de Limoges NOIRT 79000;Airport;79;46.311;-0.401
Aéroport PARIS-CHARLES-DE-GAULLE;BP 20102 ROISSY 95711 CEDEX;Airport;93;49.013;2.55
Aéroport PARIS-LE-BOURGET;180, Esplanade de l'Air et de l'Espace  LE BOURGET 93350;Airport;93;48.969;2.441
Aéroport PARIS-ORLY;Aéroport de Paris-Orly Orly Sud 103 ORLY AEROGARE 94396;Airport;91;48.725;2.359
Aéroport PAU-PYRENEES;UZEIN64230;Airport;64;43.38;-0.419
Aéroport PERIGUEUX-BASSILLAC;PERIGUEUX 24000;Airport;24;45.198;0.816
Aéroport PERPIGNAN-RIVESALTES;Avenue Maurice Bellonte PERPIGNAN 66000;Airport;66;42.74;2.871
Aéroport POITIERS-BIARD;BIARD 86580;Airport;86;46.588;0.307
Aéroport QUIMPER-PLUGUFFAN;PLUGUFFAN 29700;Airport;29;47.975;-4.168
Aéroport RENNES-ST-JACQUES;Avenue Joseph Le Brix - B.P. 29155 RENNES 35091;Airport;35;48.069;-1.735
Aéroport ROANNE-RENAISON;SAINT LEGER SUR ROANNE 42155;Airport;42;46.058;4.001
Aéroport ROCHEFORT-ST-AGNANT;La Sauzaie ROCHEFORT SAINT AGNANT 17620;Airport;17;45.888;-0.983
Aéroport RODEZ-MARCILLAC;SALLES LA SOURCES 12330;Airport;12;44.408;2.482
Aéroport ROUEN-VALLEE-DE-SEINE;BOOS 76520;Airport;76;49.384;1.175
Aéroport SAINT-BRIEUC-ARMOR;TREMON 22440;Airport;22;48.538;-2.854
Aéroport SAINT-ETIENNE-BOUTHEON;ANDREZIEUX BOUTHEON 42160;Airport;42;45.54;4.296
Aéroport SAINT-NAZAIRE-MONTOIR;MONTOIR EN BRETAGNE 44550;Airport;44;47.312;-2.149
Aéroport STRASBOURG-ENTZHEIM;Avenue de Strasbourg ENTZHEIM 67960;Airport;67;48.538;7.628
Aéroport TARBES-LOURDES-PYRENEES;B.P. 3 JUILLAN 65290;Airport;65;43.179;-0.006
Aéroport HYERES-LE-PALYVESTRE;Boulevard de la Marine HYERES 83400;Airport;83;43.097;6.146
Aéroport TOULOUSE-BLAGNAC;B.P. 103 BLAGNAC 31700;Airport;31;43.629;1.364
Aéroport TOURS-VAL-DE-LOIRE;40, Rue de l'aéroport TOURS 37100;Airport;37;47.432;0.728
Aéroport TROYES-BARBEREY;BARBEREY SAINT-SULPICE 10600;Airport;10;48.323;4.018
Aéroport VALENCE-CHABEUIL;CHABEUIL 26120;Airport;26;44.921;4.97
Aéroport VICHY-CHARMEIL;BP 2158 VICHY 03201 CEDEX;Airport;3;46.169;3.404
GARE DE BECON LES BRUYERES;Rue Madira - 92400 Courbevoie;Train Station;92;48.9055805862;2.26857173893
GARE DE CERGY ST CHRISTOPHE;Rue des pas perdus;Train Station;95;49.0497023367;2.03445484969
GARE DE CONFLANS FIN D'OISE;Place Geoges Clémenceau;Train Station;78;48.9891848652;2.07455911528
GARE DE CONFLANS STE HONORINE;2 Ter Rue Eugène Berrurier 78700 Conflans Ste Honorine;Train Station;78;48.997043425;2.09803681774
GARE D'ENGHIEN LES BAINS;rue du Départ, 95880 Enghien-les-Bains;Train Station;95;48.9730065501;2.3065405136
GARE DE FONTAINEBLEAU AVON;Place de la gare 77210 Avon;Train Station;77;48.416373943;2.7264708082
GARGAN;Boulevard Louis Pasteur 93320 Les Pavillons sous Bois;Train Station;93;48.9082235013;2.51727383269
GARE D'ISSY VAL DE SEINE;87, Avenue de Verdun 92130 Issy-les-Moulineaux;Train Station;92;48.8293825611;2.26320018157
JAVEL;Rond point du Pont Mirabeau 75015 Paris;Train Station;75;48.8461610853;2.27686168157
GARE DE CHENAY GAGNY;5 rue du chemin de fer 93220 Gagny;Train Station;93;48.8772579359;2.55260641607
GARE DU VERT DE MAISONS;Avenue de la Liberté 94700 Maisons Alfort;Train Station;94;48.7889407184;2.43215833774
GARE DES MUREAUX;Place du 8 Mai 1945 78130 Les Mureaux;Train Station;78;48.9926654868;1.9130448593
GARE DE MONTEREAU;Place Pierre Sémard 77130 Montereau-Fault-Yonne;Train Station;77;48.3798317075;2.94290979682
GARE DE NOGENT LE PERREUX;place du Théâtre 94130 NOGENT-SUR-MARNE;Train Station;94;48.8387213192;2.49407704122
GARE D'ASNIERES;Rue de la Station 92600 Asnières sur Seine;Train Station;92;48.9057768994;2.28332241877
GARE D'AULNAY SOUS BOIS;4 Bld du 11 Nov, 93600 Aulnay Sous Bois;Train Station;93;48.9318826001;2.49441371193
GARE DE PANTIN;Avenue de la gare 93500 Pantin;Train Station;93;48.8977738494;2.40040674765
GARE MONTPARNASSE;Place Raoul Dautry;Train Station;75;48.8405039394;2.3194723448
GARE DE PERSAN BEAUMONT;Avenue de la Gare 95340 Persan;Train Station;95;49.1481493422;2.27938439623
GARE DE POISSY;Place de la gare par l'Avenue Maurice Berteaux;Train Station;78;48.9331553703;2.04113811959
GARE DE BOIS COLOMBES;1 Place Gabriel Péri 92270 Bois Colombes;Train Station;92;48.9135363059;2.27247445772
GARE DE BONDY;1 place de la République 93140 BONDY;Train Station;93;48.8943813736;2.47873446467
GARE DE CERGY PREFECTURE;Gare routière et Parvis en parallèle au Bld de l'Oise;Train Station;95;49.0365179881;2.07971720177
CHAMP DE MARS TOUR EIFFEL;Quai Branly ( pont Bir Hakeim ) 75015 Paris;Train Station;75;48.8559093189;2.28968029764
GARE DE ROISSY EN BRIE;Place de la gare 77680 Roissy-en-Brie;Train Station;77;48.7954076773;2.64984936854
GARE DE CHELLES GOURNAY;place du grand jardin 77500 Chelles;Train Station;77;48.8743421869;2.58250078541
GARE DE ST CYR;Place Pierre Sémard 78120 Saint-Cyr l'Ecole;Train Station;78;48.7989222361;2.07296401601
GARE DE CLICHY LEVALLOIS;5 place du 8 mai 1945 92110 Clichy;Train Station;92;48.8969214742;2.29837992753
GARE DE COLOMBES;2-4 Rue St Denis 92700 Colombes;Train Station;92;48.9237108213;2.25953314227
GARE DE COMBS LA VILLE QUINCY;Avenue de la Gare, 77380 Combs La Ville;Train Station;77;48.6671976463;2.54769338184
GARE DE ST OUEN;Rue Dora Maar 93400 Saint-Ouen;Train Station;93;48.905347806;2.3224084353
GARE DE SAVIGNY SUR ORGE;Place de la Gare 91600 Savigny-sur-Orge;Train Station;91;48.6760035539;2.35181832836
GARE D'EPINAY VILLETANEUSE;Route de Saint-Leu 93800 Villetaneuse;Train Station;93;48.9583799869;2.32884820025
GARE D'ERMONT EAUBONNE;2 Rue de l'Arrivée, 95120 Ermont;Train Station;95;48.9806576563;2.27103879067
GARE D'EVRY COURCOURONNES;Place des droits de L'homme 91000 Evry;Train Station;91;48.6257123657;2.42872870052
GARE DE GAGNY;Place de Verdun 93220 Gagny;Train Station;93;48.8832783553;2.52678071322
GARE DE HERBLAY;Place Gabriel Peri 95220 Herblay;Train Station;95;48.9903516533;2.16198853167
INVALIDES;2, Rue Esnault Pelterie 75007 Paris;Train Station;75;48.8623692316;2.31259955332
GARE DE JUVISY;Place banette et planchon 91260 Juvisy-sur-Orge;Train Station;91;48.6894695504;2.38321063154
GARE DE LA GARENNE COLOMBES;8 Rue de l'Arrivée, 92250 La Garenne-Colombes;Train Station;92;48.9094340652;2.23992160213
GARE DE LA PLAINE STADE DE FRANCE;Av du Stade de France, 93210 La Plaine Saint Denis.;Train Station;93;48.9182603833;2.36264549454
GARE DE LIEUSAINT MOISSY;Gare SNCF 77127 Lieusaint;Train Station;77;48.6284764876;2.57006099644
GARE D'ARGENTEUIL;Place Pierre Sémard 95100 Argenteuil;Train Station;95;48.94700319;2.25717871305
GARE DE MAISONS ALFORT ALFORTVILLE;1 Place Jean Moulin 94149 Maison Alfort;Train Station;94;48.8020043888;2.42663105501
GARE DE MANTES LA JOLIE;Place du 8 Mai 1945 78200 Mantes la Jolie;Train Station;78;48.9896873515;1.7032941813
GARE DE MELUN;Place de Gallini 77000 Melun;Train Station;77;48.5275966344;2.65539176037
GARE DE MONTIGNY BEAUCHAMP;Place de la Gare, 95370 Montigny Les Cormeilles;Train Station;95;49.0075447708;2.19773281432
MUSEE D ORSAY;7, Quai Anatole France 75007 Paris;Train Station;75;48.8592617784;2.327951672
GARE DE BRUNOY;Rue de la Gare 91800 Evry;Train Station;91;48.6990474124;2.50656952687
GARE DE BERCY;48 bis Boulevard de Bercy, 75012 Paris;Train Station;75;48.8397147738;2.38244508142
GARE DE CERGY LE HAUT;Rue de l'Espérance;Train Station;95;49.0485388268;2.01227395158
GARE DE PIERREFITTE STAINS;1 Place du Général Leclerc 93380 Pierrefite sur Seine;Train Station;93;48.9641176453;2.37218092579
PONT CARDINET;145 Rue Cardinet 75017 Paris;Train Station;75;48.8875699026;2.31401853193
GARE DE CRETEIL POMPADOUR;Chemin des Bœufs;Train Station;94;48.771705;2.435188
GARE D'EMERAINVILLE PONTAULT COMBAULT;2 avenue de la gare 77184 Emerainville;Train Station;77;48.8060035996;2.61771918549
GARE D'ETAMPES;Place du Général Leclerc 91150 Etampes;Train Station;91;48.4367952365;2.15947993947
ST MICHEL ND RER C;Quai Saint Michel 75005 Paris;Train Station;75;48.8534830378;2.34386002975
GARE DE ST QUENTIN EN YVELINES;Place Charles de Gaulle 78180 Montigny le Bretonneux;Train Station;78;48.7879626643;2.04468643564
GARE DE GARGES SARCELLES;Boulevard Maurice Thorez 95140 Garges les Gonesses;Train Station;95;48.976925667;2.39068772914
GARE DE SARCELLES ST BRICE;Boulevard du Docteur Galvani / Place de la Gare;Train Station;95;48.9952928969;2.36844640671
GARE DE GRIGNY CENTRE;Route de Corbeil 91350 Grigny centre;Train Station;91;48.6535538719;2.39606757755
GARE DE HOUILLES CARRIERES SUR SEINE;Place André Malraux (Rond point);Train Station;78;48.9208344027;2.18450665388
GARE DE LA DEFENSE;Rue Carpeaux - 92800 Puteaux;Train Station;92;48.8934895769;2.23827508094
GARE DE VIGNEUX SUR SEINE;Place Robert Lakota 91270 Vigneux Sur Seine;Train Station;91;48.708293361;2.41443702418
GARE DE BLANC MESNIL;Rue Pierre Semard, 93150, Le Blanc Mesnil;Train Station;93;48.9324610128;2.47737901135
GARE DE MASSY PALAISEAU RER C;6, Place Pierre Sémard 91300 Massy;Train Station;91;48.7249016766;2.25659692368
GARE DE MEAUX;Place de la gare 77100 Meaux;Train Station;77;48.9574880158;2.87398151191
PEREIRE LEVALLOIS;4 bis, Place du Maréchal Juin 75017 Paris;Train Station;75;48.8854627647;2.29821136122
PONT DE L ALMA;Place de la Résistance 75007 Paris;Train Station;75;48.8620519436;2.30178420665
GARE DE ROSA PARKS;Rue Gaston Tessier;Train Station;75;48.8965;2.37345
GARE DE ROSNY BOIS PERRIER;Rue Léon Blum 93110 Rosny sous bois;Train Station;93;48.8827036731;2.48149612336
GARE DE STE GENEVIEVE DES BOIS;Place de la Gare 91700 Sainte-Genevi√®ve-des-Bois;Train Station;91;48.6530895138;2.3127529
GARE DE ST MICHEL SUR ORGE;Rue Anatole France 91240 Saint-Michel-sur-Orge;Train Station;91;48.6353259804;2.30660399448
GARE DE SEVRAN BEAUDOTTES;Avenue Raoul Dautry, 93270 Sevran;Train Station;93;48.9476830486;2.524451401
GARE DE SURESNES MONT VALERIEN;Rue Worth 92150 Suresnes;Train Station;92;48.8717069629;2.22110944905
GARE DE TRAPPES;Avenue Gabriel Péri 78 190 Trappes;Train Station;78;48.7750462311;2.00670966763
GARE DE VERSAILLES RIVE GAUCHE;5, Avenue du Général De Gaulle 78000 Versailles;Train Station;78;48.8000745093;2.12808696641
GARE DE YERRES;Place de la Gare 91330 Yerres;Train Station;91;48.7067634252;2.48337131052
BOULAINVILLIERS;52, Rue des Vignes 75016 Paris;Train Station;75;48.8571247692;2.27486035986
GARE DE CHOISY LE ROI;Avenue du 8 mai 45 94600 Choisy-le-Roi;Train Station;94;48.7646791205;2.41097222313
GARE DE COURBEVOIE;Rue de Sébastopol 92400 Courbevoie;Train Station;92;48.8982514361;2.24797129852
GARE DE DRANCY;193, Rue Anatole France, 93700 Drancy;Train Station;93;48.9328715049;2.45513299027
GARE DE FRANCONVILLE LE PLESSIS BOUCHARD;Place de la gare 95130 Franconville;Train Station;95;48.9932769106;2.23584452688
GARE DE GOUSSAINVILLE;Place du 8 mai 1945 95190 Goussainvilles;Train Station;95;49.024067636;2.4631569019
GARE DE LA COURNEUVE AUBERVILLIERS;Av Victor Hugo, 93120 La Courneuve;Train Station;93;48.9237716573;2.38465954977
