label;$rel_OptionCategory_label_category;price
Snow shovel;Outdoor;1
Sun visor;Outdoor;2
Protective cover;Outdoor;13
Baby seat;Indoor;21
Cabin Perfume;Indoor;2
Travel blanket;Indoor;10
Cooler;Indoor;11
Rear tablet Holder;Indoor;13
Trunk Net;Indoor;8
Ski and Snowboard Rack;Carriage;15
Pro Bike Carrier;Carriage;31
Windsurf rack;Carriage;5
Roof bars;Carriage;13
Roof Box 520L;Carriage;54
Roof Box 420L;Carriage;43
Compact Bicycle Carrier;Carriage;34
USB charger;Multimedia;2
Universal Wireless Charger;Multimedia;9
Rear Entertainment Screens;Multimedia;56
ProGo Camera;Multimedia;23
Additional GPS;Multimedia;13
Car abandonment;Abandonment;100